Filename, min_x, max_x, min_y, max_y, min_z, max_z
./20131105_ncmp_hi_molokai_4QGJ2241.laz, -156.8619221, -156.8524013, 21.1646327, 21.1658467, -13.02, -1.58
./20131105_ncmp_hi_molokai_4QGJ2228.laz, -156.8637176, -156.8539756, 21.0393185, 21.0484667, -17.27, 0.43
./20131105_ncmp_hi_molokai_4QGJ2227.laz, -156.8638143, -156.8541027, 21.0325088, 21.0394372, -35.60, 0.35
./20131105_ncmp_hi_molokai_4QGJ2144.laz, -156.8690513, -156.8616655, 21.1839099, 21.1844290, -50.54, -37.30
./20131105_ncmp_hi_molokai_4QGJ2143.laz, -156.8713990, -156.8616627, 21.1748817, 21.1839956, -52.21, -25.38
./20131105_ncmp_hi_molokai_4QGJ2142.laz, -156.8715237, -156.8617782, 21.1658500, 21.1749960, -42.45, -4.02
./20131105_ncmp_hi_molokai_4QGJ2141.laz, -156.8715491, -156.8619085, 21.1638000, 21.1659450, -12.57, 85.46
./20131105_ncmp_hi_molokai_4QGJ2127.laz, -156.8734279, -156.8637189, 21.0317095, 21.0395573, -27.60, 0.45
./20131105_ncmp_hi_molokai_4QGJ2043.laz, -156.8784072, -156.8713209, 21.1750022, 21.1811885, -51.90, -21.53
./20131105_ncmp_hi_molokai_4QGJ2042.laz, -156.8810910, -156.8714085, 21.1659871, 21.1750704, -49.99, 50.40
./20131105_ncmp_hi_molokai_4QGJ2041.laz, -156.8811726, -156.8715458, 21.1646813, 21.1660621, -18.03, 108.84
./20131105_ncmp_hi_molokai_4QGJ2027.laz, -156.8829723, -156.8733366, 21.0320264, 21.0396782, -32.82, 0.44
./20131105_ncmp_hi_molokai_4QGJ1943.laz, -156.8855043, -156.8842577, 21.1751690, 21.1758169, -33.71, 0.56
./20131105_ncmp_hi_molokai_4QGJ1942.laz, -156.8907607, -156.8810625, 21.1661022, 21.1751749, -43.10, 218.24
./20131105_ncmp_hi_molokai_4QGJ1941.laz, -156.8878344, -156.8811659, 21.1647132, 21.1661570, -19.06, 218.00
./20131105_ncmp_hi_molokai_4QGJ1928.laz, -156.8925609, -156.8828268, 21.0396818, 21.0488276, -24.76, 24.73
./20131105_ncmp_hi_molokai_4QGJ1842.laz, -156.9004087, -156.8907451, 21.1662258, 21.1748270, -44.56, 159.09
