,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev
3719,1.503336909605423,21.09297114614552,-157.15962217734094,4.0,4.0,-1.0,16.676891958457418,18.68134117126465
3720,0.9964364062834647,21.092970572905045,-157.15962239518078,4.0,4.0,-1.0,16.67689793757745,18.00547981262207
3721,1.1524382218485698,21.092957799827534,-157.15962282954462,4.0,4.0,-1.0,16.677031121682376,18.21361541748047
3722,6.718386720793205,21.09295761845625,-157.1596206882895,4.0,4.0,-1.0,16.677033012208994,25.6348819732666
3723,6.6976398295446415,21.092957595005014,-157.15962069720416,4.0,4.0,-1.0,16.677033256652066,25.607219696044922
3724,6.301997822065459,21.092950675305595,-157.15962111761894,4.0,4.0,-1.0,16.67710537176754,25.079769134521484
3725,6.05903903550643,21.092950400416363,-157.15962122204218,4.0,4.0,-1.0,16.67710823606467,24.755826950073242
3726,1.4852915243027383,21.092945229130816,-157.15962318747145,4.0,4.0,-1.0,16.67716211269726,18.657550811767578
3727,1.3672012507995532,21.092938621048702,-157.15962348861996,4.0,4.0,-1.0,16.677230938264984,18.500165939331055
3728,1.5356506958924,21.09293233715009,-157.15962366655538,4.0,4.0,-1.0,16.67729636625154,18.724830627441406
3729,6.999707256232796,21.092932040559848,-157.15962156881054,4.0,4.0,-1.0,16.67729945384781,26.010242462158203
3730,3.52986948016769,21.092928117351963,-157.15962305985923,4.0,4.0,-1.0,16.677340291294968,21.383832931518555
3731,1.447953371265612,21.092925763511772,-157.15962395448503,4.0,4.0,-1.0,16.6773647890368,18.607969284057617
3732,1.6526971324674378,21.092925994946146,-157.1596238665095,4.0,4.0,-1.0,16.677362380505656,18.880958557128906
3733,7.298390203188319,21.09292590420239,-157.15962169061356,4.0,4.0,-1.0,16.677363324866747,26.408550262451172
3734,1.338444864784833,21.092919165489835,-157.15962425170153,4.0,4.0,-1.0,16.677433443022892,18.462026596069336
3735,6.326272361213341,21.092911855725333,-157.15962260849759,4.0,4.0,-1.0,16.677509476430714,25.112539291381836
3736,1.1573997250015964,21.092906011210715,-157.15962482965952,4.0,4.0,-1.0,16.677570248866687,18.22076988220215
3737,1.3210655785442214,21.092899722038666,-157.1596250092637,4.0,4.0,-1.0,16.67763562509208,18.439056396484375
3738,6.6594620490432135,21.092899283732255,-157.15962296517637,4.0,4.0,-1.0,16.67764018054004,25.556922912597656
3739,4.19832833692999,21.09289650098099,-157.1596240227565,4.0,4.0,-1.0,16.6776691001578,22.275440216064453
3740,5.293660597879352,21.092897739364012,-157.15962355208697,4.0,4.0,-1.0,16.677656230822322,23.735870361328125
3741,7.412409423461213,21.09289366065492,-157.15962289145173,4.0,4.0,-1.0,16.677698613973917,26.560911178588867
3742,6.451297143579723,21.092886099775164,-157.15962355420166,4.0,4.0,-1.0,16.677777158576646,25.27950668334961
3743,1.5476752016329556,21.092880555342283,-157.15962566133956,4.0,4.0,-1.0,16.677834736852674,18.74140167236328
3744,1.5080979784142983,21.0928740361226,-157.15962592804019,4.0,4.0,-1.0,16.67790241773764,18.68869972229004
3745,1.293836945311341,21.092873793930046,-157.15962602010296,4.0,4.0,-1.0,16.67790493168286,18.40302085876465
3746,5.04539346463207,21.092878035593206,-157.15962440803978,4.0,4.0,-1.0,16.6778608988825,23.405052185058594
3747,1.9793194297562877,21.09286809450218,-157.1596259751931,4.0,4.0,-1.0,16.677964082875405,19.31705665588379
3748,6.822056482735206,21.092867095558244,-157.15962414381306,4.0,4.0,-1.0,16.677974448597524,25.774049758911133
3749,6.563320457276859,21.092866803092175,-157.15962425498526,4.0,4.0,-1.0,16.67797748335579,25.4290714263916
3750,6.353986149708362,21.092866566467194,-157.15962434493113,4.0,4.0,-1.0,16.677979938613134,25.149961471557617
3751,6.006518697467982,21.092859698840932,-157.15962474378202,4.0,4.0,-1.0,16.678051185968798,24.686742782592773
3752,1.3584313257451868,21.092854443507708,-157.1596267410731,4.0,4.0,-1.0,16.678105690225493,18.489347457885742
3753,1.773929612521897,21.09284843802828,-157.15962681203146,4.0,4.0,-1.0,16.678167956823017,19.043407440185547
3754,1.6881422528203984,21.09284186657087,-157.15962709829913,4.0,4.0,-1.0,16.678236070132698,18.929092407226562
3756,6.934777763817692,21.092841323939794,-157.15962509318993,4.0,4.0,-1.0,16.678241693531163,25.924612045288086
3757,1.8425656430372328,21.092835566324784,-157.1596272813153,4.0,4.0,-1.0,16.678301351275877,19.135055541992188
3758,1.4145628643163946,21.09283508252256,-157.15962746521583,4.0,4.0,-1.0,16.67830636340659,18.564390182495117
3759,1.8637772213332937,21.09282911565994,-157.1596275215122,4.0,4.0,-1.0,16.67836816961062,19.16340446472168
3760,6.572345437172771,21.092827964648436,-157.15962574751282,4.0,4.0,-1.0,16.678380089913844,25.44150733947754
3761,1.8344768071401631,21.092816132500587,-157.15962803260666,4.0,4.0,-1.0,16.678502588241827,19.12447166442871
3762,1.7472248551675875,21.09281603387351,-157.15962807009598,4.0,4.0,-1.0,16.678503609044128,19.008136749267578
3763,1.9392052855582733,21.092809775950048,-157.15962823678876,4.0,4.0,-1.0,16.67856836762803,19.264175415039062
3764,-0.6247915897256462,21.092806876912626,-157.1596293385272,4.0,4.0,-1.0,16.678598360682372,15.845542907714844
3766,6.949479607028479,21.09280896566439,-157.15962633305153,4.0,4.0,-1.0,16.67857675117557,25.944549560546875
